	my	name	is	javad	pourmostafa	and	i	am	from	guilan	nlp	group	at	the	university	of	.
41	-0.012754321	0.009219966	-0.010355473	0.26021746	0.17185992	0.071613364	0.1074605	0.10723582	-0.1944871	0.195714	0.087465495	0.22580518	0.024518847	-0.002314406	0.023565033	-0.06337968	-0.04098314
42	-0.090112925	0.017719686	-0.07417321	0.3356941	0.26382264	-0.094413675	0.19028756	0.13741603	-0.10296043	0.07340408	0.1594762	0.06946397	-0.15300177	-0.08427857	-0.20508574	0.06488569	-0.21272385
43	0.060560502	0.015348863	0.05692418	-0.12022621	-0.034948293	0.036157694	-0.12994865	0.015960366	-0.13227051	-0.24742958	-0.034003228	0.036764428	0.00892067	0.028420255	-0.064662755	0.076681	0.097636014
44	0.22091419	-0.05789512	-0.10948829	0.570655	0.19358768	0.0027819874	0.08617182	-0.016902193	0.11913859	0.31498516	0.3017995	-0.39246652	-0.10311365	0.07818382	0.23605248	0.054731343	-0.058569312
45	0.13571535	0.22161298	0.2854231	0.043486852	0.0138982255	-0.08171072	0.23444845	0.29071152	0.11471373	0.31581792	0.22912899	-0.05752173	-0.06188622	-0.12017375	-0.11877741	-0.121463165	-0.044869445
46	0.21186644	0.4039804	0.19264206	-0.03199852	-0.19877854	-0.013368641	-0.032019638	0.082072005	0.1922211	-0.6897175	-0.32274613	0.10297007	-0.076661594	-0.040865805	-0.15493365	-0.1090651	0.02820611
47	0.19989827	-0.21505421	0.010483369	-0.013736078	-0.04519519	-0.053017292	0.027213454	0.038395315	-0.10544433	-0.08223115	-0.24766964	0.019966496	0.16422388	0.08943776	0.060583074	-0.09278926	-0.1261892
48	-0.31296122	0.16036062	-0.054829866	0.09576129	-0.11495732	0.052227106	-0.08213444	-0.23981756	0.19141273	-0.07405487	0.3406833	-0.20616013	0.19202317	0.05084468	-0.13919798	0.033568516	0.012062803
49	-0.11587127	-0.236908	-0.030501395	-0.01692005	-0.112241395	-0.07968216	-0.19291088	-0.0010557026	-0.19164415	0.0021621333	-0.2374076	-0.16774169	-0.15849122	-0.0637196	-0.23136044	-0.18983558	-0.19176713
50	-0.08848606	0.2672411	0.06812501	-0.21385674	0.0595024	-0.00031768	0.041210964	-0.17515138	0.16663623	0.07393271	0.46276847	0.018318677	-0.10443783	0.07086428	0.30865377	0.08910042	-0.044824034
51	-0.59064364	-0.22548485	-0.04918766	-0.3151162	-0.29897004	0.030397467	-0.54555047	-0.26989067	-0.07208673	-0.14602113	-0.36914	0.012630821	-0.32162112	-0.06396168	-0.0575381	0.0130158365	-0.08176467
52	-0.025914058	0.07245002	0.11643361	-0.34085166	-0.15817787	-0.1684653	0.08937764	0.5918738	-0.01712436	-0.27192205	0.31130445	0.17984536	-0.017645866	-0.09532861	0.25537413	-0.051570773	-0.07372313
53	-0.091933504	-0.2839557	-0.10179723	0.11877327	0.3186697	0.021827886	-0.15301403	-0.37024432	-0.024085283	0.0012237297	0.067982435	-0.03467017	0.19714323	0.06984764	-0.06634971	0.028039634	0.037251383
54	-0.10121828	-0.101532385	0.105412945	-0.12995777	0.12081119	-0.19576533	0.012136249	0.002550304	-0.05492323	-0.65328825	-0.15403424	-0.20992589	0.06387921	-0.05025353	0.0045520747	0.12696578	-0.07562478
55	0.37892464	-0.08728265	0.096376896	-0.038697354	-0.309305	-0.05010925	0.30464163	0.17940392	0.18160577	0.48698646	-0.09716961	0.053614672	0.15028721	0.05826516	-0.47640878	-0.077554435	0.008560896
56	-0.35574007	0.14603066	0.3035245	-0.07245961	0.31645045	-0.009687943	-0.20035961	-0.15521464	-0.4175203	0.0933732	-0.2644782	0.22801834	0.27939034	0.08587708	0.09817349	0.15722334	0.062612325
